asset,year_month,timestamp_unit,agg_trades_count,raw_trades_count,duration_seconds,first_timestamp_int,last_timestamp_int,agg_trades_per_second,raw_trades_per_second,raw_to_agg_ratio
ETHUSDT,2025-08,us,50594678,129039399,2678399.605949,1754006400216610,1756684799822559,18.889891518660633,48.177799426713726,2.5504540022964473
ETHUSDT,2025-09,us,28454468,99519717,2591999.004838,1756684800316508,1759276799321346,10.977808227120985,38.3949672875048,3.497507561905568
ETHUSDT,2025-10,us,50227413,182480027,2678399.560291,1759276800336276,1761955199896567,18.752770775747493,68.13024826668284,3.633076364096236
ETHUSDT,2025-11,us,46950743,166293679,2591999.084333,1761955200143555,1764547199227888,18.113718976132223,64.15653462423673,3.541875343697969
ETHUSDT,2025-12,us,32102715,150548246,2678399.558981,1764547200089753,1767225599648734,11.985782663514742,56.20828509144328,4.6895798688677885
ETHUSDT,2026-01,us,28926906,142820157,2678398.180908,1767225601317428,1769903999498336,10.800076779544977,53.32297416345419,4.937277322365551
ETHUSDT,2026-02,us,46252798,187462845,2419198.251038,1769904000015509,1772323198266547,19.119060614463663,77.48965795571559,4.053005506823609
ETHUSDT,2026-03,us,33102610,154204757,2678398.999836,1772323200002784,1775001599002620,12.359103330768452,57.573482147149114,4.658386664978985
SOLUSDT,2025-01,us,25165142,110659934,2678398.848613,1735689600707766,1738367999556379,9.39559170324154,41.315703991324845,4.397349873885075
SOLUSDT,2025-02,us,16205252,84217132,2419199.62884,1738368000313946,1740787199942786,6.69860056475388,34.81198120073369,5.196903571755626
SOLUSDT,2025-03,us,13330559,66841710,2678398.174724,1740787200236730,1743465598411454,4.977063950311894,24.95585258039082,5.014171573750208
SOLUSDT,2025-04,us,10670171,63782520,2591997.519244,1743465600108253,1746057597627497,4.116582257807151,24.607477255072087,5.977647406025639
SOLUSDT,2025-05,us,10291957,69338920,2678399.780109,1746057600071086,1748735999851195,3.842576853699248,25.88818910266569,6.737194879457814
SOLUSDT,2025-06,us,7957836,58304784,2591999.40455,1748736000419087,1751327999823637,3.070153483072103,22.494134797119045,7.326713443202398
SOLUSDT,2025-07,us,10952174,68301166,2678399.700996,1751328000049881,1754006399750877,4.089073783844616,25.500736867093163,6.236311256559657
SOLUSDT,2025-08,us,14418380,88180987,2678399.398678,1754006400598640,1756684799997318,5.383207600448462,32.92301627737977,6.115873419898768
SOLUSDT,2025-09,us,12559195,63117720,2591999.061966,1756684800006980,1759276799068946,4.845370194877309,24.35098103474079,5.02561828206346
SOLUSDT,2025-10,us,15698476,88165003,2678399.045147,1759276800335910,1761955199381057,5.861141575764866,32.91705287893769,5.616150446705782
SOLUSDT,2025-11,us,11697605,78031726,2591999.346505,1761955200459026,1764547199805531,4.512966029784235,30.104840151760232,6.670743797555141
SOLUSDT,2025-12,us,9098887,48723943,2678398.941137,1764547200037197,1767225598978334,3.397136572992168,18.19144349695581,5.354934400218401
SOLUSDT,2026-01,us,8257608,39160130,2678398.866506,1767225600629785,1769903999496291,3.083038939145064,14.620723780056258,4.742309152965363
SOLUSDT,2026-02,us,8564358,46045368,2419198.986724,1769904000004197,1772323198990921,3.540162693105941,19.033311543484537,5.376394587895555
SOLUSDT,2026-03,us,6495127,35021397,2678398.654386,1772323200004999,1775001598659385,2.4250038318097022,13.075498280530743,5.391949533858229
